order_id,customer_id,order_status,order_purchase_timestamp,order_delivered_timestamp,order_estimated_delivery_date
ord_00001,cust_0380,canceled,2024-11-23,2024-11-29,2024-11-30
ord_00002,cust_0378,delivered,2024-05-05,2024-05-15,2024-05-16
ord_00003,cust_0045,processing,2024-12-12,2025-01-07,2025-01-05
ord_00004,cust_0112,shipped,2024-01-17,2024-01-20,2024-01-26
ord_00005,cust_0288,shipped,2024-09-15,2024-10-07,2024-09-22
ord_00006,cust_0215,shipped,2024-11-28,2024-12-23,2024-12-22
ord_00007,cust_0415,delivered,2024-08-17,2024-09-07,2024-09-01
ord_00008,cust_0175,canceled,2024-03-22,2024-04-16,2024-04-11
ord_00009,cust_0053,delivered,2024-03-20,2024-03-29,2024-04-06
ord_00010,cust_0434,canceled,2024-07-13,2024-07-19,2024-07-31
ord_00011,cust_0374,processing,2024-11-05,2024-11-16,2024-11-13
ord_00012,cust_0041,canceled,2024-10-01,2024-10-07,2024-10-20
ord_00013,cust_0296,shipped,2024-11-17,2024-12-09,2024-12-05
ord_00014,cust_0339,shipped,2024-12-26,2024-12-31,2025-01-03
ord_00015,cust_0444,delivered,2024-05-28,2024-06-02,2024-06-11
ord_00016,cust_0326,canceled,2024-07-13,2024-07-24,2024-08-03
ord_00017,cust_0108,canceled,2024-03-24,2024-04-07,2024-04-11
ord_00018,cust_0312,shipped,2024-12-25,2025-01-18,2025-01-03
ord_00019,cust_0084,processing,2024-09-30,2024-10-26,2024-10-14
ord_00020,cust_0113,canceled,2024-07-13,2024-07-24,2024-08-06
ord_00021,cust_0413,canceled,2024-01-29,2024-02-08,2024-02-06
ord_00022,cust_0109,canceled,2024-07-24,2024-08-04,2024-08-02
ord_00023,cust_0203,processing,2024-04-18,2024-05-11,2024-05-10
ord_00024,cust_0127,canceled,2024-03-14,2024-03-25,2024-03-25
ord_00025,cust_0205,canceled,2024-10-26,2024-11-11,2024-11-20
ord_00026,cust_0253,delivered,2024-04-22,2024-04-29,2024-05-15
ord_00027,cust_0079,shipped,2024-01-25,2024-02-24,2024-02-04
ord_00028,cust_0198,processing,2024-12-14,2024-12-30,2024-12-23
ord_00029,cust_0129,delivered,2024-11-01,2024-11-18,2024-11-24
ord_00030,cust_0350,canceled,2024-12-14,2025-01-09,2024-12-24
ord_00031,cust_0151,processing,2024-11-24,2024-12-07,2024-12-04
ord_00032,cust_0489,canceled,2024-03-21,2024-04-07,2024-03-28
ord_00033,cust_0260,delivered,2024-09-13,2024-10-10,2024-09-25
ord_00034,cust_0312,shipped,2024-11-16,2024-11-28,2024-12-09
ord_00035,cust_0277,delivered,2024-03-19,2024-04-02,2024-03-31
ord_00036,cust_0010,delivered,2024-11-02,2024-11-15,2024-11-24
ord_00037,cust_0123,delivered,2024-07-04,2024-08-02,2024-07-20
ord_00038,cust_0044,processing,2024-05-03,2024-05-24,2024-05-12
ord_00039,cust_0393,shipped,2024-02-05,2024-03-03,2024-02-29
ord_00040,cust_0485,shipped,2024-03-06,2024-03-30,2024-03-28
ord_00041,cust_0494,shipped,2024-05-15,2024-06-03,2024-06-04
ord_00042,cust_0366,canceled,2024-10-03,2024-10-30,2024-10-16
ord_00043,cust_0225,processing,2024-07-23,2024-08-16,2024-08-10
ord_00044,cust_0033,canceled,2024-03-02,2024-03-12,2024-03-16
ord_00045,cust_0118,shipped,2024-01-11,2024-02-01,2024-02-04
ord_00046,cust_0118,delivered,2024-01-04,2024-01-09,2024-01-12
ord_00047,cust_0037,shipped,2024-01-17,2024-02-16,2024-02-03
ord_00048,cust_0110,shipped,2024-05-22,2024-06-15,2024-06-13
ord_00049,cust_0125,processing,2024-10-19,2024-11-09,2024-11-10
ord_00050,cust_0050,processing,2024-07-27,2024-08-05,2024-08-06
ord_00051,cust_0240,delivered,2024-06-30,2024-07-16,2024-07-20
ord_00052,cust_0032,processing,2024-12-10,2025-01-02,2024-12-20
ord_00053,cust_0128,shipped,2024-06-22,2024-07-20,2024-07-02
ord_00054,cust_0072,processing,2024-04-07,2024-04-27,2024-04-28
ord_00055,cust_0128,delivered,2024-04-03,2024-04-14,2024-04-24
ord_00056,cust_0051,delivered,2024-08-14,2024-09-11,2024-09-07
ord_00057,cust_0497,delivered,2024-11-29,2024-12-19,2024-12-06
ord_00058,cust_0249,processing,2024-05-01,2024-05-09,2024-05-21
ord_00059,cust_0463,delivered,2024-04-19,2024-05-19,2024-05-08
ord_00060,cust_0200,canceled,2024-03-25,2024-04-09,2024-04-01
ord_00061,cust_0357,processing,2024-08-20,2024-09-01,2024-09-09
ord_00062,cust_0112,delivered,2024-03-20,2024-03-29,2024-04-05
ord_00063,cust_0032,canceled,2024-10-23,2024-11-18,2024-11-16
ord_00064,cust_0245,shipped,2024-01-30,2024-02-03,2024-02-24
ord_00065,cust_0436,shipped,2024-01-30,2024-02-18,2024-02-08
ord_00066,cust_0346,shipped,2024-02-05,2024-02-27,2024-02-14
ord_00067,cust_0127,delivered,2024-07-25,2024-07-31,2024-08-19
ord_00068,cust_0337,canceled,2024-11-13,2024-11-18,2024-12-03
ord_00069,cust_0123,canceled,2024-05-13,2024-05-22,2024-05-30
ord_00070,cust_0235,canceled,2024-07-21,2024-07-28,2024-08-06
ord_00071,cust_0319,delivered,2024-02-07,2024-02-10,2024-02-28
ord_00072,cust_0260,canceled,2024-02-07,2024-02-27,2024-02-20
ord_00073,cust_0451,shipped,2024-03-08,2024-03-22,2024-03-17
ord_00074,cust_0225,canceled,2024-07-08,2024-07-20,2024-07-20
ord_00075,cust_0005,canceled,2024-11-09,2024-12-07,2024-12-02
ord_00076,cust_0136,delivered,2024-12-05,2024-12-11,2024-12-16
ord_00077,cust_0080,canceled,2024-02-24,2024-03-21,2024-03-19
ord_00078,cust_0368,canceled,2024-05-24,2024-06-15,2024-06-06
ord_00079,cust_0259,processing,2024-04-14,2024-05-08,2024-04-29
ord_00080,cust_0048,processing,2024-05-08,2024-06-07,2024-05-16
ord_00081,cust_0171,shipped,2024-05-21,2024-05-25,2024-05-28
ord_00082,cust_0380,processing,2024-11-22,2024-12-03,2024-12-04
ord_00083,cust_0288,delivered,2024-10-09,2024-11-03,2024-10-29
ord_00084,cust_0280,delivered,2024-02-27,2024-03-03,2024-03-09
ord_00085,cust_0076,processing,2024-07-08,2024-07-29,2024-08-01
ord_00086,cust_0187,delivered,2024-03-06,2024-03-10,2024-03-22
ord_00087,cust_0342,delivered,2024-07-02,2024-07-11,2024-07-16
ord_00088,cust_0453,processing,2024-06-30,2024-07-27,2024-07-24
ord_00089,cust_0474,shipped,2024-11-13,2024-12-09,2024-11-24
ord_00090,cust_0452,processing,2024-03-24,2024-04-21,2024-04-05
ord_00091,cust_0401,processing,2024-01-13,2024-01-21,2024-01-30
ord_00092,cust_0137,shipped,2024-12-08,2025-01-07,2024-12-22
ord_00093,cust_0447,delivered,2024-12-25,2024-12-31,2025-01-13
ord_00094,cust_0419,processing,2024-08-28,2024-09-07,2024-09-10
ord_00095,cust_0115,delivered,2024-06-28,2024-07-10,2024-07-12
ord_00096,cust_0169,canceled,2024-12-03,2024-12-12,2024-12-22
ord_00097,cust_0180,processing,2024-02-05,2024-03-03,2024-02-20
ord_00098,cust_0170,delivered,2024-12-13,2025-01-11,2025-01-06
ord_00099,cust_0298,canceled,2024-02-29,2024-03-11,2024-03-12
ord_00100,cust_0177,canceled,2024-01-20,2024-01-26,2024-02-09
ord_00101,cust_0060,processing,2024-08-11,2024-09-02,2024-09-03
ord_00102,cust_0023,processing,2024-10-22,2024-10-31,2024-11-06
ord_00103,cust_0352,shipped,2024-01-01,2024-01-20,2024-01-25
ord_00104,cust_0486,canceled,2024-07-05,2024-07-21,2024-07-14
ord_00105,cust_0369,canceled,2024-11-15,2024-11-28,2024-11-25
ord_00106,cust_0168,processing,2024-09-16,2024-09-28,2024-10-06
ord_00107,cust_0066,shipped,2024-12-22,2025-01-03,2025-01-15
ord_00108,cust_0347,shipped,2024-08-03,2024-08-27,2024-08-22
ord_00109,cust_0208,delivered,2024-11-11,2024-12-02,2024-11-27
ord_00110,cust_0221,canceled,2024-06-04,2024-06-16,2024-06-17
ord_00111,cust_0346,shipped,2024-08-26,2024-09-12,2024-09-16
ord_00112,cust_0338,delivered,2024-09-18,2024-10-06,2024-09-30
ord_00113,cust_0048,shipped,2024-05-25,2024-06-13,2024-06-11
ord_00114,cust_0413,shipped,2024-12-10,2024-12-22,2024-12-24
ord_00115,cust_0126,processing,2024-03-16,2024-03-19,2024-03-24
ord_00116,cust_0234,processing,2024-11-08,2024-12-08,2024-11-17
ord_00117,cust_0368,processing,2024-11-18,2024-12-09,2024-12-01
ord_00118,cust_0076,delivered,2024-09-10,2024-09-25,2024-09-24
ord_00119,cust_0113,shipped,2024-02-24,2024-03-22,2024-03-15
ord_00120,cust_0026,shipped,2024-12-22,2025-01-10,2025-01-12
ord_00121,cust_0411,processing,2024-03-03,2024-03-20,2024-03-14
ord_00122,cust_0305,canceled,2024-12-07,2024-12-26,2024-12-31
ord_00123,cust_0219,processing,2024-08-14,2024-09-05,2024-09-06
ord_00124,cust_0231,canceled,2024-03-22,2024-04-17,2024-04-13
ord_00125,cust_0393,processing,2024-05-06,2024-06-04,2024-05-21
ord_00126,cust_0226,delivered,2024-11-16,2024-11-26,2024-12-01
ord_00127,cust_0172,canceled,2024-05-26,2024-06-05,2024-06-10
ord_00128,cust_0078,shipped,2024-10-03,2024-10-08,2024-10-14
ord_00129,cust_0362,shipped,2024-07-15,2024-08-09,2024-07-26
ord_00130,cust_0170,processing,2024-02-02,2024-02-18,2024-02-22
ord_00131,cust_0427,processing,2024-07-31,2024-08-04,2024-08-13
ord_00132,cust_0485,delivered,2024-07-18,2024-08-14,2024-08-12
ord_00133,cust_0004,canceled,2024-10-21,2024-11-05,2024-11-12
ord_00134,cust_0437,processing,2024-06-01,2024-06-28,2024-06-20
ord_00135,cust_0410,shipped,2024-10-02,2024-10-28,2024-10-26
ord_00136,cust_0224,processing,2024-09-06,2024-09-16,2024-09-21
ord_00137,cust_0343,processing,2024-01-15,2024-01-30,2024-02-01
ord_00138,cust_0471,shipped,2024-03-25,2024-04-23,2024-04-15
ord_00139,cust_0465,processing,2024-11-14,2024-12-04,2024-11-21
ord_00140,cust_0043,processing,2024-10-30,2024-11-20,2024-11-06
ord_00141,cust_0094,delivered,2024-03-10,2024-04-09,2024-03-31
ord_00142,cust_0109,processing,2024-05-13,2024-05-28,2024-05-30
ord_00143,cust_0143,processing,2024-06-16,2024-06-29,2024-07-05
ord_00144,cust_0241,delivered,2024-05-09,2024-06-07,2024-05-18
ord_00145,cust_0115,delivered,2024-10-03,2024-10-07,2024-10-21
ord_00146,cust_0487,shipped,2024-11-29,2024-12-03,2024-12-06
ord_00147,cust_0319,shipped,2024-04-12,2024-05-11,2024-04-19
ord_00148,cust_0343,delivered,2024-05-02,2024-05-09,2024-05-24
ord_00149,cust_0359,canceled,2024-10-15,2024-10-24,2024-11-05
ord_00150,cust_0399,shipped,2024-07-07,2024-07-15,2024-07-17
ord_00151,cust_0014,canceled,2024-06-08,2024-06-14,2024-07-03
ord_00152,cust_0204,shipped,2024-10-21,2024-11-14,2024-11-09
ord_00153,cust_0053,canceled,2024-02-08,2024-02-29,2024-02-22
ord_00154,cust_0408,delivered,2024-12-16,2025-01-07,2024-12-26
ord_00155,cust_0339,canceled,2024-06-26,2024-07-16,2024-07-16
ord_00156,cust_0007,processing,2024-02-05,2024-02-24,2024-02-22
ord_00157,cust_0492,canceled,2024-09-07,2024-09-13,2024-09-27
ord_00158,cust_0363,shipped,2024-11-21,2024-12-20,2024-12-12
ord_00159,cust_0495,canceled,2024-08-10,2024-08-18,2024-09-02
ord_00160,cust_0397,processing,2024-11-11,2024-12-09,2024-12-05
ord_00161,cust_0138,canceled,2024-08-26,2024-09-11,2024-09-20
ord_00162,cust_0143,processing,2024-05-05,2024-06-03,2024-05-14
ord_00163,cust_0292,processing,2024-05-04,2024-05-31,2024-05-25
ord_00164,cust_0436,canceled,2024-06-21,2024-06-24,2024-07-13
ord_00165,cust_0182,canceled,2024-04-03,2024-04-21,2024-04-16
ord_00166,cust_0285,delivered,2024-06-23,2024-07-04,2024-07-08
ord_00167,cust_0124,processing,2024-09-21,2024-09-30,2024-09-30
ord_00168,cust_0354,processing,2024-09-07,2024-09-27,2024-09-21
ord_00169,cust_0230,delivered,2024-11-26,2024-12-21,2024-12-18
ord_00170,cust_0208,shipped,2024-02-17,2024-02-29,2024-03-02
ord_00171,cust_0189,processing,2024-06-05,2024-06-29,2024-06-30
ord_00172,cust_0218,canceled,2024-10-10,2024-10-29,2024-10-28
ord_00173,cust_0139,canceled,2024-06-29,2024-07-24,2024-07-20
ord_00174,cust_0370,shipped,2024-05-08,2024-05-18,2024-05-18
ord_00175,cust_0487,shipped,2024-06-10,2024-06-16,2024-07-04
ord_00176,cust_0142,canceled,2024-04-08,2024-04-17,2024-04-30
ord_00177,cust_0152,shipped,2024-02-21,2024-03-21,2024-03-05
ord_00178,cust_0008,shipped,2024-07-03,2024-07-11,2024-07-19
ord_00179,cust_0284,canceled,2024-05-20,2024-05-24,2024-05-28
ord_00180,cust_0053,delivered,2024-12-23,2024-12-30,2025-01-14
ord_00181,cust_0246,processing,2024-10-20,2024-11-01,2024-11-11
ord_00182,cust_0130,processing,2024-06-23,2024-07-01,2024-07-01
ord_00183,cust_0206,processing,2024-02-28,2024-03-28,2024-03-08
ord_00184,cust_0078,shipped,2024-02-07,2024-02-28,2024-02-15
ord_00185,cust_0128,delivered,2024-10-15,2024-10-27,2024-10-24
